1,21 - 1, Mixed Cocktail, Tall Highball, Lime Wheel, Mother`s Day, 1 1/4 oz. Rum, 1 oz. Lime juice, 1 oz. Simple Syrup, Dash Grenadine, In Shaker, mix ingredients, pour over ice,
2,21 - 2, Mixed Cocktail, Collins, Orange Slice & Lime Wheel, Green, 1 1/4 oz. Coconut Rum, 3/4 oz. Melon Liqueur, 2 oz. Orange juice, 2 oz. Pineapple juice, Pour Over 1 oz. Soda, In Shaker, mix ingredients, pour over ice
3,21 - 3, Mixed Cocktail, Highball Glass, Pineapple, Any, 1 1/2 oz. Early Times, 1 oz. Apricot Brandy, 2 oz. Pineapple juice, Club Soda, Shake ingredients with ice; pour into highball glass; stir in club soda,,,
4,57 T - Birds (California Plates), Mixed Cocktail, Collins, None, Any, 1 1/4 oz. Scotch, 1 oz. Coffee Liqueur, 3 oz. Half & Half, In Shaker, mix ingredients, pour over ice,,
5,57 T - Birds (Cape Cod Plates), Shooter, Chilled Rocks, None, Any, 1/2 oz. Orange Brandy Liqueur, 1/2 oz.Amaretto, 1/2 oz. Vodka 1/2 oz. Cranberry juice, In Shaker, mix ingredients with ice and strain into glass,,,
6,57 T - Birds (Florida Plates), Shooter, Chilled Rocks, None, Any, 1/2 oz. Orange Brandy Liqueur, 1/2 oz.Amaretto, 1/2 oz. Vodka 1/2 oz. Grapefruit juice, In Shaker, mix ingredients with ice and strain into glass,,,
7,57 T - Bird, Mixed Cocktail, Rocks Glass, None, Any, 1/2 oz. Southern Comfort, 1/2 oz. Grand Marnier, 1/2 oz. Amaretto Di Saronno, splash Pineapple juice, Fill shaker half full with ice, add ingredients; stir; strain into rocks glass,,
8,77 Sunset Strip - 1, Martini, Chilled Cocktail, 3 Speared Cocktail Onions, Father`s Day, 2 oz. Gin or Vodka, Dash Dry Vermouth, In Shaker, mix ingredients with ice and strain into glass,,,,
9,77 Sunset Strip - 2, Shooter, Chilled Rocks, None, Any, 1/2 oz. Orange Brandy Liqueur, 1/2 oz. Amaretto, 1/2 oz. Vodka, 1/2 oz. Pineapple juice, In Shaker, mix ingredients with ice and strain into glass,,
10,77 Sunset Strip - 3, Shooter, Cordial, None, 4th of July, 1/2 oz. Creme de Noya, 1/2 oz. White Creme de Menthe, 1/2 oz. Blue Curacao, Pour Liqueurs in the order they are listed,,,,
11,7th - Inning Stretch, Mixed Cocktail, Cocktail Glass, None, Any, 1 part Jack Daniel`s, 2 parts Orange juice, 2 parts 7-Up, Mix ingredients and pour into cocktail glass,,,,
12,Adam`s Apple - 1, Highball, Tall Rocks, None, Any, 1 1/2 oz. Galliano, 3/4 oz. White Creme de Menthe, Pour ingredients as listed over ice,,,,,
13,Adam`s Apple - 2, Martini, Chilled Cocktail, Lemon Twist, Any, 1 oz. Harvey`s Bristol Cream, 1 oz. Dubonnet, In Shaker, mix ingredients with ice and strain into glass,,,,
14,Adam`s Apple - 3, Mixed Cocktail, Rocks Glass, None, Any, 1 1/4 oz. Finlandia Vodka, Pour Finlandia vodka over ice, fill with apple cider, stir,,,,
15,Adios Mother - 1, Frozen Drink, Tall Specialty, Lime Wheel, Cinco de Mayo, 1 1/4 oz. Gold Tequila, 1/2 oz. Triple Sec, 1 1/2 oz. Margarita Mix, 1 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth,,
16,Adios Mother - 2, Highball, Tall Highball, None, Any, 3/4 oz. Irish Cream, 3/4 oz. Amaretto, 1 oz. Half & Half, In Shaker, mix ingredients, pour over ice,,
17,Adios Mother - 3, Mixed Cocktail, Cocktail Glass, None, Mother`s Day, 1/2 oz. Finlandia Vodka, 1/2 oz. Gin, 1/2 oz. Rum, 3 oz. Sweet and Sour Mix, Blend for a few seconds,,,,
18,Adios Mother - 4, Mixed Cocktail, Collins, None, Halloween, 1 1/4 oz. Vodka, 4 oz. Apple Cider, Pour ingredients as listed over ice,,,,,,
19,Admiral Jack, Mixed Cocktail, Cocktail Glass, None, Any, One part Jack Daniel`s, 1/2 part Noilly Prat Dry Vermouth, Lemon juice, Mix ingredients as listed,,,,,
20,After 5, Shooter, Cordial, None, Any, 1/2 oz. Coffee Liqueur, 1/2 oz. Peppermint Schnapps, 1/2 oz. Irish Cream, Pour Liqueurs in the order they are listed,,,,,
21,Airport - 1, Mixed Cocktail, Chimney Glass, Orange slice, Any, 1 1/2 oz. Jack Daniel`s, 1/2 oz. Orange juice, dash Lemon juice, Asti Spumante Wine, Combine Jack Daniel`s and orange juice in glass; top with Asti Spumante,,,,
22,Airport - 2, Shooter, Chilled Rocks, None, Any, 1 oz. Vodka, 1/2 oz. Triple Sec, juice of 1/2 Lemon, 1/2 oz. Simple Syrup, In Shaker, mix ingredients with ice and strain into glass,,,
23,Alabama Slammer - 1, Mixed Cocktail, Collins, None, Valentine`s Day, 3/4 oz. Vodka, 3/4 oz. Bourbon, 3/4 oz. Amaretto, 3 oz. Orange juice, 1/2 oz. Grenadine, In Shaker, mix ingredients, pour over ice,
24,Alabama Slammer - 2, Shooter, Shot Glass, None, Any, 1 part Southern Comfort, 1 part Club Soda, Place napkin over glass and slam glass on bar top,,,,,,
25,Alabama Slammer - 3, Shooter, Shot Glass, None, Any, 3/4 oz. Southern Comfort, 1 oz. Pepe Lopez Tequila, 1/2 oz. Orange juice, 1/2 oz. Cranberry juice, All drinks must be shaken with rocks and strained into shot glass,,,,
26,Alabama Slammer - 4, Martini, Chilled Cocktail, Lime Wheel, Cinco de Mayo, 1 1/4 oz. Tequila, 1/2 oz. Triple Sec, 1 oz. Margarita Mix, 1 oz. Water, Salt Rim, In Shaker, mix ingredients with ice and strain into glass,,
27,Alabama Slammer - 5, Mixed Cocktail, Collins, None, Luau, 1/2 oz. Gold Rum, 1/2 oz. Coconut Rum, 1/2 oz. Banana Liqueur, 1/2 oz. Grenadine, 1 oz. Orange juice, 1 oz. Pineapple juice, In Shaker, mix ingredients, pour over ice
28,Alabama Slammer - 6, Punch, Tall Glass, Orange slice, Birthday, 1 oz. Southern Comfort, 1/2 oz. Sloe gin, 1/2 oz. Amaretto, 1 1/2 oz. Orange juice, Fill tall glass with ice and add all ingredients,,,,
29,Alejandro`s - 1, Hot Drink, Footed Glass Mug, Preheated, Heavy Whipping Cream, Winter, 1 1/4 oz. Dark Rum, Fill with Hot Tea, Pour ingredients as listed into preheated mug,,,,,
30,Alejandro`s - 2, Mixed Cocktail, Cocktail Glass, Lemon and cherry, Any, 1 1/2 oz. Southern Comfort, 2 oz. Pineapple juice, 2 oz. Orange juice, 1 oz. Cranberry juice, splash Club Soda, Speed shake,,,
31,Alejandro`s - 3, Mixed Cocktail, Collins, Lemon Squeeze, 4th of July, 3/4 oz. Bourbon, 3/4 oz. Triple Sec, 3/4 oz. Sweet & Sour Mix, Fill with Lemon-Lime Soda, In Shaker, mix ingredients, pour over ice,,
32,Algonquin, Mixed Cocktail, Cocktail Glass, None, Any, 1 1/2 oz. Early Times, 1 oz. Noilly Prat Dry Vermouth, 1 oz. Pineapple juice, Mix ingredients as listed,,,,,
33,Alice In Wonderland - 1, Shooter, Chilled Rocks, None, Any, 1/2 oz. Coffee Liqueur, 1/2 oz. Tequila, 1/2 oz. Orange Brandy Liqueur, In Shaker, mix ingredients with ice and strain into glass,,,
34,Alice In Wonderland - 2, Shooter, Shot Glass, None, Any, 1 part Pepe Lopez Tequila, 1 part Grand Marnier, 1 part Tia Maria, Serve as shot,,,,
35,Almond Cappuccino, Cappuccino, Footed Glass Mug, Heavy Whipping Cream, Shaved Chocolate & Cookie, Any, 1 oz. Amaretto, 3 oz. Milk, 1 Espresso Shot, Steam milk and liquor together in mug until foamy, Brew 1 Shot of Espresso, Pour Shot of Espresso into center of steamed milk/liquor mixture,
36,Almond Joey, Ice Cream Drink, Tall Specialty, None, Any, 1 1/4 oz. Amaretto, 1 oz. Cream of Coconut, 1 oz. Chocolate Syrup, 2 Scoops Vanilla Ice Cream, 1/2 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth,
37,Almond Lemonade, Mixed Cocktail, Tall Glass, Lemon slice, Any, 1 1/4 oz. Finlandia Vodka, 1/4 oz. Creme de Almond, Lemonade, Pour over ice in a tall class,,,,
38,Almond Mocha, Coffee Drink, Footed Glass Mug, Preheated, Heavy Whipping Cream, Any, 1 1/4 oz. Amaretto, Fill with Hot Coffee, Pour ingredients as listed into preheated mug,,,,
39,Almond Tea, Hot Drink, Footed Glass Mug, Preheated, None, Any, 1 Orange Spice Tea Bag, Fill with Hot Water and Brew, 1 1/4 oz. Amaretto, Pour ingredients as listed into preheated mug. Leave bag in glass,,,
40,Al`s Special Cocktail, Mixed Cocktail, Cocktail Glass, None, Any, 2/3 oz. Canadian Mist, 1/3 oz. Apricot Brandy, Mix ingredients as listed,,,,,
41,Amaretto Colada, Frozen Drink, Tall Specialty, Pineapple Slice & Cherry, Any, 1 1/4 oz. Amaretto, 5 oz. Pina Colada Mix, 1 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth,,,
42,Amber Jack - 1, Highball, Tall Rocks, None, Any, 1 1/2 oz. Galliano, 3/4 oz. Brandy, Pour ingredients as listed over ice,,,,,
43,Amber Jack - 2, Mixed Cocktail, Rocks Glass, None, Any, 1 part Jack Daniel`s, 1 part Amaretto, Mix ingredients as listed,,,,,
44,Ambush, Hot Drink, Coffee Mug, None, Any, 1 oz. Bushmills Irish Whiskey, 1 oz. Amaretto, 5 oz. Coffee, Topped with whipped cream,,,,
45,American Sour, Mixed Cocktail, Sour Glass, None, 4th of July, 2 oz. Early Times, dash Triple Sec, dash Orange juice, Sour Mix, Fill with sour mix,,,
46,Americano, Highball, Tall Highball, Lemon Twist, 4th of July, 1 oz. Campari, 1 oz. Sweet Vermouth, Top with Soda, Pour ingredients as listed over ice,,,,
47,Angel`s Tip, Highball, Tall Rocks, Speared Cherry, Any, 1 1/2 oz. Dark Creme de Cacao, Float 1 oz. Half & Half, Pour ingredients as listed over ice,,,,,
48,Apple A La Mode, Hot Drink, Tall Specialty, Apple Slice & Cinnamon Sprinkle, Thanksgiving, 1 1/4 oz. Rum, 2 Dashes Ground Cinnamon, 1/2 Ripe Apple (seedless), 2 oz. Apple Cider, 2 Scoops Vanilla Ice Cream, 1/2 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth
49,Apple Jack - 1, Mixed Cocktail, Collins, Lemon Squeeze, Mother`s Day, 1/2 oz. Gin, 1/2 oz. Vodka, 1/2 oz. Rum, 1/2 oz. Triple Sec, 2 oz. Sweet & Sour Mix, Top with Cranberry juice, In Shaker, mix ingredients, pour over ice
50,Apple Jack - 2, Mixed Cocktail, Cocktail Glass, None, Any, 1 1/2 oz. Jack Daniel`s, 3 oz. Apple juice, 1 oz. Orange juice, 3/4 oz. Honey, Shake all ingredients in cocktail shaker,,,,
51,Apricot Rickey, Highball, Tall Highball, Lime Squeeze, Any, 1 1/4 oz. Apricot Liqueur, Fill with Soda, Pour ingredients as listed over ice,,,,,,
52,Aquarius, Mixed Cocktail, Tall Glass, None, Any, 1 1/2 oz. Canadian Mist, 1/2 oz. Cherry Brandy, 10 oz. Cranberry juice, Mix ingredients as listed,,,,,
53,Arcadia, Mixed Cocktail, Cocktail Glass, Shaved mint leaves, Any, 2 parts Finlandia Vodka, 1 part Midori, Shake together and strain into a cocktail glass,,,,,,
54,Arizona Mud - 1, Hot Drink, Coffee Mug, None, Any, 1 part Jack Daniel`s, 1 part Amaretto, Coffee, Whipped Cream, Mix ingredients as listed,,,,
55,Arizona Mud - 2, Mixed Cocktail, Collins, Lemon Squeeze, Mother`s Day, 1 1/4 oz. Bombay Gin, 2 oz. Cranberry juice, Float 2 oz. Grapefruit juice, Pour ingredients as listed over ice,,,,,
56,Arizona Mud - 3, Shooter,  Chilled Rocks, None, St. Patrick`s Day, 1/2 oz. Coffee Liqueur, 1/2 oz. Hazelnut Liqueur, 1/2 oz. Irish Cream, In Shaker, mix ingredients with ice and strain into glass,,,,
57,B-52, Shooter, Cordial, None, Any, 1/2 oz. Coffee Liqueur, 1/2 oz. Irish Cream, 1/2 oz. Orange Brandy Liqueur, Pour Liqueurs in the order they are listed,,,,,
58,Ball And Jack Manhattan - 1, Mixed Cocktail, Stemmed Glass, None, Any, 1 oz. Jack Daniel`s, 1/2 oz. Midori, 7-Up, Mix ingredients as listed,,,,,
59,Ball And Jack Manhattan - 2, Mixed Cocktail, Collins, Pineapple Wedge & Cherry, Any, 1 oz. Melon Liqueur, 1/2 oz. Coconut-Flavored Rum, 1/2 oz. Banana Liqueur, 2 oz. Sweet & Sour Mix, 2 oz. Pineapple juice, In Shaker, mix ingredients, pour over ice,
60,Baltimore Slugger, Shooter, Shot Glass, None, Any, 1 oz. Southern Comfort, 1 oz. Peppermint Schnapps, Shake well with ice and strain into 2 oz. shot glass,,,,,,
61,Banana Bang, Ice Cream Drink, Tall Specialty, Banana Slice, Any, 1/2 Ripe Banana, 1 1/2 oz. Banana Liqueur, 3/4 oz. Vanilla Syrup, Dash Sweet & Sour Mix, 2 Scoops Vanilla Ice Cream, 1/2 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth,
62,Banana Banshee (Screaming), Ice Cream Drink, Tall Specialty, Banana Slice, Any, 1/2 Ripe Banana, 3/4 oz. Vodka, 3/4 oz. Banana Liqueur, 3/4 oz. White Creme de Cacao, 2 Scoops Vanilla Ice Cream, 1/2 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth,
63,Banana Boat, Ice Cream Drink, Tall Specialty, Banana Slice, Any, 1/2 Ripe Banana, 3/4 oz. Rum, 3/4 oz. Banana Liqueur, 3/4 oz. White Creme de Cacao, 2 Scoops Vanilla Ice Cream, 1/2 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth,
64,Banana Daiquiri, Frozen Drink, Tall Specialty, Banana Slice, Any, 1/2 Ripe Banana, 1 1/4 oz. Rum, 3/4 oz. Lime juice, 1/2 oz. Banana Liqueur, 1 Tbs. Bar Sugar, 1 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth,
65,Banana Nog, Mixed Cocktail, Coffee Mug, None, Winter, 1/2 c Southern Comfort, 6 Bananas, 3 3/4 c. Milk, Nutmeg, Combine 1/2 of the bananas, milk and Southern Comfort in blender until smooth; add remaining ingredients and blend; pour into cups and sprinkle with n,,,
66,Banana Split, Ice Cream Drink, Tall Specialty, Aerosol Whipping Cream, Cherry & Banana Slice, Birthday, 1/4 Ripe Banana, 1 oz. Pureed Strawberries, 3/4 oz. Banana Liqueur, 3/4 oz. Strawberry Liqueur, 3/4 oz. Dark Creme de Cacao, 1 Scoop Vanilla Ice Cream, Combine ingredients in blender, blend until smooth
67,Bananan Nutbread, Ice Cream Drink, Tall Specialty, Banana Slice & Chopped Pecans, Any, 1/2 Ripe Banana, 2 tsp. Chopped Pecans, 1 oz. Hazelnut Liqueur, 1 oz. Banana Liqueur, 2 Scoops Vanilla Ice Cream, 1/2 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth,
68,Bandolero - 1, Mixed Cocktail, Stemmed Glass, None, Any, 3/4 oz. Southern Comfort, 3/4 oz. Peach Schnapps, 2 oz. Orange juice, 1 oz. Cream of Coconut, 2 scoops Orange Sherbet, 1 c Crushed Ice, Blend for 60 seconds,,
69,Bandolero - 2, Smoothie, Collins, None, Any, 1 oz. Plain Yogurt, 2 oz. Blueberries with juice, 1 oz. Orange juice, 1 oz. Cream of Coconut, 1 Peach Slice, 1/4 Apple (seeded), 1 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth
70,Banff Cocktail, Mixed Cocktail, Cocktail Glass, None, Any, 1 oz. Canadian Mist, 1/2 oz. Grand Marnier, 2 dashes Kirsch, dash Orange Bitters, Combine in shaker with ice cubes, shake vigorously; strain into a chilled cocktail glass,,,
71,Banzai - 1, Mixed Cocktail, Cocktail Glass, None, Any, 1 1/2 oz. Southern Comfort, 1 oz. Finlandia Vodka, Creme de Noyaux, Mix ingredients as listed,,,,,
72,Banzai - 2, Shooter,  Chilled Rocks, None, Any, 1 oz. Vodka (Premium), 1/2 oz. Triple Sec, 1/2 oz. Lime juice, In Shaker, mix ingredients with ice and strain into glass,,,,
73,Barbados Sunrise - 1, Coffee Drink, Footed Glass Mug, Preheated, Heavy Whipping Cream, St. Patrick`s Day, 3 Sugar Cubes, Add Coffee and Muddle, 1 1/4 oz. Irish Whiskey, Fill with Hot Coffee, Pour ingredients as listed into preheated mug,,,
74,Barbados Sunrise - 2, Mixed Cocktail, Collins Glass, Lime wedge, Any, 1 1/2 oz. Korbel Spiced Brandy, 1/4 oz. Rose`s Sweetened Lime juice, 1/2 oz. Gold Rum, 2 oz. Pineapple juice, Combine all ingredients over ice in an 8 oz. glass,,,,
75,Bar-b-q Delight, Mixed Cocktail, Stemmed Glass, None, Any, 6 oz. Jack Daniel`s, 6 oz. frozen Limeade Concentrate, 6 oz. Beer, Combine all ingredients; serve over ice in stemmed glass,,,,,
76,Barn Burner, Hot Drink, Mug, None, Any, 1 1/2 oz. Southern Comfort,  Small Cinnamon Stick,  Slice Lemon Peel,  Hot Cider, Add Southern Comfort, cinnamon and lemon peel to a mug. Fill with hot cider,,,
77,Barnamint Baileys, Ice Cream Drink, Tall Specialty, Oreo Cookie, Any, 1 oz. Irish Cream, 3/4 oz. Green Creme de Menthe, 3 Oreo Cookies, 1 oz. Half & Half, 2 Scoops Vanilla Ice Cream, 1/2 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth,
78,Bear Hug - 1, Mixed Cocktail, Cocktail Glass, None, Any, 1 oz. Canadian Mist, Ginger Ale, Lime Wedge, Mix ingredients as listed,,,,,
79,Bear Hug - 2, Mixed Cocktail, Collins, Orange Slice, Luau, 1/2 oz. Vodka, 1/2 oz. Peach Schnapps, 1/2 oz. Melon Liqueur, 1/2 oz. Coconut Rum, 1 1/2 oz. Cranberry juice, 1 1/2 oz. Orange juice, In Shaker, mix ingredients, pour over ice
80,Bee Hive, Mixed Cocktail, Short Glass, Lemon wedge, Any, 2 oz. Jack Daniel`s, 1 tsp Honey, Grapefruit juice, Lemon Wedge, Fill with grapefruit juice,,,,
81,Beer Buster, Mixed Cocktail, Pint Glass, None, Father`s Day, 1 1/4 oz. Vodka, Dash Pepper Sauce, Fill with Beer, Pour ingredients as listed,,,,,
82,Bellagio, Martini, Martini, None, Any, 2 oz.SKYY VODKA, 1 oz. Campari, 1 oz. passion fruit liqueur, Splash of simple syrup, Dash of fresh lemon juice, Mix all ingredients in a shaker filled with ice. Shake and serve in a Collins glass,,,
83,Bellini, Frozen Drink, Tall Specialty, None, Brunch, 2 oz. Peach Slices with Syrup, 1 oz. Vodka, 1 oz. Peach Schnapps, 1 Tbs. Bar Sugar, 1/2 Scoop Crushed Ice, Top with 1 1/2 oz. Champagne, Combine ingredients in blender (except champagne), blend until smooth,
84,Bermuda Lady, Mixed Cocktail, Coffee Mug, None, Any, 1/2 oz. Early Times, 1/2 oz. Apricot Brandy, 1/2 oz. Coffee Liqueur (Kahlua), 1/2 oz. Half `n` Half, Blend and strain,,,,
85,Berry Daiquiri, Frozen Drink, Tall Specialty, Mint Sprig, Valentine`s Day, 1 oz. Pureed Strawberries, 1 oz. Frozen Blueberries, 1 1/4 oz. Rum, 3/4 oz. Lime juice, 1/2 oz. Raspberry Liqueur, 1/2 oz. Blackberry Brandy, 1 Tbs. B, Combine ingredients in blender, blend until smooth
86,Berry Southern Comfortable - 1, Highball, Brandy Snifter, Orange Twist, Any, 2 oz. Chilled Lillet (The Lillet should be kept in the refrigerator), Pour ingredients as listed over ice,,,,,,,
87,Berry Southern Comfortable - 2, Mixed Cocktail, Old Fashioned Glass, None, Any, 1 1/2 oz. Southern Comfort, 1/2 oz. Amaretto, 2 oz. Club Soda, 2 oz. Cranberry juice, Pour ingredients over ice in old fashioned glass,,,,
88,Between The Sheets, Martini, Chilled Cocktail, Lime Wheel, Any, 3/4 oz. Light Rum, 3/4 oz. Brandy, 3/4 oz. Triple Sec, 3/4 oz. Lime juice, In Shaker, mix ingredients with ice and strain into glass,,,
89,Billy Jack - 1, Martini, Chilled Cocktail, Pineapple & Cherry, Blue, 1 1/2 oz. Coconut Rum, 1/2 oz. Blue Curacao, 1/2 oz. Pineapple juice, In Shaker, mix ingredients with ice and strain into glass,,,,
90,Billy Jack - 2, Mixed Cocktail, Tall Glass, None, Any, 3/4 oz. Jack Daniel`s, 3/4 oz. Triple Sec, 3/4 oz. Amaretto, Sweet and Sour Mix, splash Grenadine, Combine first three ingredients in a tall glass; add ice cubes and fill glass with sweet and sour mix; stir and top with a splash of grenadine,,,
91,Bit O` Honey, Ice Cream Drink, Tall Specialty, None, Any, 1 oz. Irish Cream, 1 oz. White Creme de Cacao, 1 oz. Half & Half, 2 Scoops Vanilla Ice Cream, 1/2 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth,,
92,Bitter Citrus - 1, Martini, Martini, None, Any, 1 1/2 oz. Skyy Citrus, 1/2 teaspoon superfine sugar, 4 oz. tonic water, In a shaker half-filled with ice, combine Skyy Citrus and sugar. Shake well. Strain into a highball glass almost filled with ice cubes. Top with tonic,,,,
93,Bitter Citrus - 2, Mixed Cocktail, Tall Specialty, Lime Wheel, Cinco de Mayo, 1 1/4 oz. Gold Tequila, 1/4 oz. Orange Brandy Liqueur, 1/4 oz. Triple Sec, 1 1/2 oz. Margarita Mix, 1 1/2 oz. Water, Salt Rim, In Shaker, mix ingredients with ice and strain into glass,
94,Bitter Citrus Wave, Martini, Martini, Lemon twist, Any, 1 oz. Skyy Citrus, 1/2 oz. Cinzano Dry Vermouth, 1/2 oz. Campari, In a mixing glass half-filled with ice, combine Skyy Citrus, Cinzano Dry Vermouth, and Campari. Stir well. Strain into a cocktail glass,,
95,Black Eye, Mixed Cocktail, Tall Glass, None, Any, 1 1/4 oz. Jack Daniel`s, 1/4 oz. Blackberry Brandy, 1/4 oz. Sweet and Sour Mix, splash Club Soda, Combine first three ingredients in a glass; squeeze lemon wedge in glass and drop in; add ice cubes and a splash of club soda,,,,
96,Black Forest, Hot Drink, Footed Glass Mug, Preheated, Aerosol Whipping Cream, Any, 1/2 oz. Raspberry Liqueur, 1/2 oz. White Creme de Cacao, 1/2 oz. Vodka, Hot Chocolate, Pour ingredients as listed into preheated mug,,,
97,Black Hawk - 1, Ice Cream Drink, Tall Specialty, Aerosol Whipping Cream, Any, 1 1/4 oz. Coffee Liqueur, 3 oz. Coffee, 2 Scoops Vanilla Ice Cream,, Combine ingredients in blender, blend until smooth,
98,Black Hawk - 2, Mixed Cocktail, Short Glass, Cherry, Any, 1 1/2 oz. Canadian Mist, 1 1/2 oz. Sloe Gin, Cherry, Mix ingredients as listed,,,
99,Black Magic, Mixed Cocktail, Coffee Mug, None, Any, 1 1/2 oz. Jack Daniel`s, 1 oz. Tia Maria, 1 oz. Cream of Coconut, 20 Chocolate Chips, 2 scoops Chocolate Ice Cream, 1 c Crushed Ice, Blend for 60 seconds and top with whipped cream
100,Black Manhattan - 1, Champagne Drink, Tall Specialty, Lemon Wheel, Any, 1/2 oz. Simple Syrup, juice of 1 Whole Lemon, Drop Half into Glass, Fill with Champagne, Pour ingredients as listed over crushed Ice,,
101,Black Manhattan - 2, Mixed Cocktail, Cocktail Glass, None, Any, 1 1/2 oz. Canadian Mist, 1/4 oz. Noilly Prat Sweet Vermouth, dash Bitters, 1/4 oz. Black Sambuca, Stir with ice; strain into cocktail glass; squeeze lemon wedge into glass and drop in rind,,
102,Black Raider, Shooter, Shot Glass, None, Any, 1 part Jack Daniel`s, 1 part Triple Sec, 1 part Lemon juice, Mix ingredients as listed,,,
103,Black Russian, Highball, Tall Rocks, None, Any, 1 1/2 oz. Vodka, 3/4 oz. Coffee Liqueur, Pour ingredients as listed over ice,,,,
104,Black-eyed Susan, Mixed Cocktail, Rocks Glass, None, Any, 1 oz. Early Times, 1 oz. Peach Schnapps, 1 oz. Grapefruit juice, 1 oz. Pineapple juice, Mix ingredients as listed,,
105,Blinker - 1, Mixed Cocktail, Collins, Lime Wheel & Lime Squeeze, Cinco de Mayo, 1 oz. Tequila, 1/2 oz. Triple Sec, 1/2 oz. Creme de Noya, 1/4 oz. Lime juice, Top with Soda, Pour ingredients as listed over ice,
106,Blinker - 2, Mixed Cocktail, Tall Glass, None, Kentucky Derby, 2 oz. Canadian Mist, dash Grenadine, Grapefruit juice, Fill with grapefruit juice,,,
107,Blitz, Mixed Cocktail, Stemmed Glass, Lime wedge, Any, 1 oz. Southern Comfort, 1/2 oz. Pepe Lopez Tequila, 1/4 oz. Triple Sec, 1 oz. Sweet and Sour Mix, 6 oz. Orange juice, dash Grenadine, Mix in a blender filled with ice
108,Blizzard - 1, Frozen Drink, Tall Specialty, Lime Wheel, Cinco de Mayo, 2 oz. Frozen Raspberries, 1 1/4 oz. Tequila, 1/2 oz. Triple Sec, 1 oz. Margarita Mix, 1 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth
109,Blizzard - 2, Mixed Cocktail, Cocktail Glass, None, Any, 2 oz. Early Times, 1/2 tsp Mentholmint Schnapps, 1/4 tsp Triple Sec, dash Bitters, Mix ingredients as listed,,
110,Blood Clot - 1, Ice Cream Drink, Tall Specialty, Aerosol Whipping Cream & Lemon Wheel, Any, juice of 1 Whole Lemon OR 1 oz. Lemon juice, 1 oz. Rum, 1 oz. White Creme de Cacao, 2 Scoops Vanilla Ice Cream, 1/2 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth
111,Blood Clot - 2, Mixed Cocktail, Tall Glass, None, Any, 1/2 oz. Southern Comfort, 1/2 oz. Amaretto, 1/4 oz. Grenadine, 7-Up, Fill with 7-Up,,
